"","","2.5 %","97.5 %"
"(Intercept)",1.18950903292748,0.581596080893453,2.30388663266672
"google1",1.00933135686132,0.996893532476347,1.01947040509112
"google2",1.00792808591828,0.998196948742432,1.0195339600501
"google11",1.00976041469541,1.00139101595457,1.02449321488144
"google21",0.99419812696716,0.980533912132112,1.00373960021893
"google12",0.978685219662075,0.962156809200642,0.992224589792479
"google22",1.02339359467242,1.00766495409539,1.03339278220776
"google13",1.00290997350286,0.988554524632783,1.01536128382301
"google23",0.99897071385651,0.984295601423281,1.01758069273459
"tox_eset1",1.05489899702021,0.950829685513402,1.16014362293186
"tox_eset2",1.00851549338934,0.916066643592868,1.0879870624313
"tox_eset3",1.01246310686352,0.933547505767947,1.10155692206056
